Image File Name,Player Name,Nationality,Caption
Chase_Stillman_19_3_2003.png,Chase Stillman,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Josh_Bloom_8_6_2003.png,Josh Bloom,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Noah_Ostlund_11_3_2004.png,Noah Ostlund,Swedish/Danish/Norwegian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Swedish/Danish/Norwegian."
Joonas_Lohisalo_14_5_2003.png,Joonas Lohisalo,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Ludwig_Persson_8_10_2003.png,Ludwig Persson,Swedish/Danish/Norwegian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Swedish/Danish/Norwegian."
Lenni_Hameenaho_7_11_2004.png,Lenni Hameenaho,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Alexander_Morozov_5_12_2003.png,Alexander Morozov,Russian/Belorussian/Kazakh,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Russian/Belorussian/Kazakh."
Otto_Salin_7_3_2004.png,Otto Salin,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Anton_Maryshev_28_12_2004.png,Anton Maryshev,Russian/Belorussian/Kazakh,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Russian/Belorussian/Kazakh."
Nikita_Shalyshkin_21_6_2003.png,Nikita Shalyshkin,Russian/Belorussian/Kazakh,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Russian/Belorussian/Kazakh."
Ty_Hurley_16_6_2004.png,Ty Hurley,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Caden_Price_24_8_2005.png,Caden Price,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
James_Guo_2_4_2005.png,James Guo,"Asian (Japanese, Korean, Chinese)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Asian (Japanese, Korean, Chinese)."
Pavel_Mintyukov_25_11_2003.png,Pavel Mintyukov,Russian/Belorussian/Kazakh,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Russian/Belorussian/Kazakh."
Danila_Istomin_28_11_2005.png,Danila Istomin,Russian/Belorussian/Kazakh,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Russian/Belorussian/Kazakh."
Konsta_Kapanen_29_9_2003.png,Konsta Kapanen,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Oliver_Kapanen_29_7_2003.png,Oliver Kapanen,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Maximus_Wanner_12_3_2003.png,Maximus Wanner,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Kalle_Kangas_1_2_2005.png,Kalle Kangas,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Michael_Cicek_26_1_2004.png,Michael Cicek,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Dax_Hughes-Williams_28_9_2005.png,Dax Hughes-Williams,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Ethan_Neutens_3_5_2005.png,Ethan Neutens,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Logan_Stankoven_26_2_2003.png,Logan Stankoven,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Tomis_Marinkovic_15_2_2004.png,Tomis Marinkovic,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Zeb_Forsfjall_16_1_2005.png,Zeb Forsfjall,Swedish/Danish/Norwegian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Swedish/Danish/Norwegian."
Samu_Tuomaala_8_1_2003.png,Samu Tuomaala,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
James_Hong_22_11_2004.png,James Hong,"Asian (Japanese, Korean, Chinese)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Asian (Japanese, Korean, Chinese)."
Damian_Clara_13_1_2005.png,Damian Clara,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Carmelo_Crandell_2_3_2005.png,Carmelo Crandell,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Marc-Andre_Gaudet_24_10_2003.png,Marc-Andre Gaudet,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Maximilian_Kilpinen_13_2_2004.png,Maximilian Kilpinen,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Jesse_Pulkkinen_27_12_2004.png,Jesse Pulkkinen,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Aleksanteri_Kaskimaki_6_2_2004.png,Aleksanteri Kaskimaki,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Carlin_Dezainde_29_12_2004.png,Carlin Dezainde,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Luca_Marrelli_4_10_2005.png,Luca Marrelli,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Ryan_Mast_14_1_2003.png,Ryan Mast,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Reid_Schaefer_21_9_2003.png,Reid Schaefer,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Jere_Lassila_8_3_2004.png,Jere Lassila,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Aaron_Hakala_11_7_2004.png,Aaron Hakala,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Sami_Paivarinta_8_6_2003.png,Sami Paivarinta,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Jiri_Kulich_14_4_2004.png,Jiri Kulich,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Chaz_Lucius_2_5_2003.png,Chaz Lucius,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Ville_Koivunen_13_6_2003.png,Ville Koivunen,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Janne_Peltonen_22_3_2005.png,Janne Peltonen,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Ryan_Smith_3_10_2005.png,Ryan Smith,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Axel_Landen_29_3_2005.png,Axel Landen,Swedish/Danish/Norwegian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Swedish/Danish/Norwegian."
Niko_Huuhtanen_26_6_2003.png,Niko Huuhtanen,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Visa_Vedenpaa_11_5_2005.png,Visa Vedenpaa,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Eemil_Vinni_18_12_2005.png,Eemil Vinni,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Ondrej_Becher_22_2_2004.png,Ondrej Becher,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Vladimir_Grudinin_9_12_2003.png,Vladimir Grudinin,Russian/Belorussian/Kazakh,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Russian/Belorussian/Kazakh."
Reid_Morich_11_4_2005.png,Reid Morich,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Ethan_Del Mastro_15_1_2003.png,Ethan Del Mastro,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Tuomas_Uronen_19_3_2005.png,Tuomas Uronen,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Tyson_Hinds_12_3_2003.png,Tyson Hinds,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Sergei_Murashov_1_4_2004.png,Sergei Murashov,Russian/Belorussian/Kazakh,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Russian/Belorussian/Kazakh."
Jake_Gudelj_5_12_2005.png,Jake Gudelj,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Elmeri_Laakso_19_7_2004.png,Elmeri Laakso,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Kalle_Vaisanen_28_1_2003.png,Kalle Vaisanen,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Hagen_Burrows_13_10_2005.png,Hagen Burrows,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Francesco_Pinelli_11_4_2003.png,Francesco Pinelli,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Simon_Edvinsson_5_2_2003.png,Simon Edvinsson,Swedish/Danish/Norwegian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Swedish/Danish/Norwegian."
Brennan_Othmann_5_1_2003.png,Brennan Othmann,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Arjun_Bawa_10_5_2005.png,Arjun Bawa,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Chris_Able_4_11_2004.png,Chris Able,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Matteo_Danis_27_3_2005.png,Matteo Danis,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Brad_Lambert_19_12_2003.png,Brad Lambert,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Coster_Dunn_13_9_2005.png,Coster Dunn,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Brandt_Clarke_9_2_2003.png,Brandt Clarke,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Alexander_Lukin_27_3_2004.png,Alexander Lukin,Russian/Belorussian/Kazakh,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Russian/Belorussian/Kazakh."
Jimi_Suomi_1_3_2003.png,Jimi Suomi,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Kasper_Kulonummi_1_3_2004.png,Kasper Kulonummi,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Oscar_Fisker Molgaard_18_2_2005.png,Oscar Fisker Molgaard,Swedish/Danish/Norwegian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Swedish/Danish/Norwegian."
Daniil_Lazutin_25_7_2003.png,Daniil Lazutin,Russian/Belorussian/Kazakh,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Russian/Belorussian/Kazakh."
Jani_Nyman_30_7_2004.png,Jani Nyman,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Luca_Del Bel Belluz_10_11_2003.png,Luca Del Bel Belluz,Slavic,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Slavic."
Cole_Sillinger_16_5_2003.png,Cole Sillinger,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Bauer_Dumanski_5_1_2005.png,Bauer Dumanski,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Anton_Wahlberg_4_7_2005.png,Anton Wahlberg,Swedish/Danish/Norwegian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Swedish/Danish/Norwegian."
Jack_Matier_8_4_2003.png,Jack Matier,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Ben_Bonni_8_8_2004.png,Ben Bonni,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Cedricson_Okitundu_3_1_2004.png,Cedricson Okitundu,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Reese_Shaw_28_2_2005.png,Reese Shaw,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Niklas_Kokko_14_3_2004.png,Niklas Kokko,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Oskar_Vuollet_3_12_2005.png,Oskar Vuollet,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Carter_Yakemchuk_29_9_2005.png,Carter Yakemchuk,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Jesse_Kiiskinen_23_8_2005.png,Jesse Kiiskinen,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Oliver_Tulk_19_1_2005.png,Oliver Tulk,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Duncan_Schneider_5_7_2005.png,Duncan Schneider,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Thomas_Tien_25_6_2004.png,Thomas Tien,"Asian (Japanese, Korean, Chinese)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Asian (Japanese, Korean, Chinese)."
Arttu_Alasiurua_5_2_2005.png,Arttu Alasiurua,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Wyatt_Johnston_14_5_2003.png,Wyatt Johnston,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Fabian_Lysell_19_1_2003.png,Fabian Lysell,Swedish/Danish/Norwegian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Swedish/Danish/Norwegian."
Marcus_Nguyen_2_8_2004.png,Marcus Nguyen,"Asian (Japanese, Korean, Chinese)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Asian (Japanese, Korean, Chinese)."
Carson_Lambos_14_1_2003.png,Carson Lambos,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Zack_Ostapchuk_29_5_2003.png,Zack Ostapchuk,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
